#単語,形態素解析結果の単語,読み,品詞

# moon
陽子,陽子,ヨウコ,カスタム人名
彦丸,彦丸,ヒコマル,カスタム人名
星座早見盤,星座早見盤,セイザハヤミバン,カスタム名詞
木土往還計画,木土往還計画,モクドオウカンケイカク,カスタム名詞
木土往還船,木土往還船,モクドオウカンセン,カスタム名詞
外惑星,外惑星,ガイワクセイ,カスタム名詞
南翼,南翼,ナンヨク,カスタム名詞
北翼,北翼,ホクヨク,カスタム名詞
月球儀,月球儀,ゲッキュウギ,カスタム名詞
砂粒,砂粒,スナツブ,カスタム名詞
赤竜,赤竜,セキリュウ,カスタム名詞

# DT
獣,獣,ケモノ,カスタム名詞
呪う,呪う,のろう,動詞
焼鮭,焼鮭,ヤキザケ,カスタム名詞
焼き網,焼き網,ヤキアミ,カスタム名詞
滝行,滝行,タキギョウ,カスタム名詞
自然融合,自然融合,シゼンユウゴウ,カスタム名詞
筐体,筐体,キョウタイ,カスタム名詞
殺人鬼,殺人鬼,サツジンキ,カスタム名詞
足の甲,足の甲,アシノコウ,カスタム名詞
仇,仇,カタキ,カスタム名詞
右腕,右腕,ミギウデ,カスタム名詞
左腕,左腕,ヒダリウデ,カスタム名詞
一匹,一匹,イッピキ,カスタム名詞
